# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 82K of event 'task-clock:ppp'
# Event count (approx.): 82543543461
#
# Overhead  Symbol                                            IPC   [IPC Coverage]
# ........  ................................................  ....................
#
     0.12%  [k] __mod_timer                                   -      -            
     0.12%  [.] hash_seq_init                                 -      -            
     0.12%  [.] GetCurrentTransactionNestLevel                -      -            
     0.12%  [k] mutex_unlock                                  -      -            
     0.12%  [.] xtc_io_poll                                   -      -            
     0.12%  [.] _bt_first                                     -      -            
     0.12%  [.] pfree                                         -      -            
     0.12%  [k] tcp_current_mss                               -      -            
     0.12%  [k] memset_orig                                   -      -            
     0.12%  [k] epi_fget.isra.0                               -      -            
     0.11%  [.] expression_tree_walker_impl                   -      -            
     0.11%  [.] GetCachedPlan                                 -      -            
     0.11%  [.] PgCurrentSessionJitGUCState                   -      -            
     0.11%  [k] __iowrite64_copy                              -      -            
     0.11%  [.] PortalStart                                   -      -            
     0.11%  [.] MemoryContextAlloc                            -      -            
     0.11%  [k] llist_add_batch                               -      -            
     0.11%  [.] PgCurrentSessionBufferIOState                 -      -            
     0.11%  [.] standard_ExecutorStart                        -      -            
     0.11%  [.] BufferLockAcquire                             -      -            
     0.10%  [.] _bt_readpage                                  -      -            
     0.10%  [.] exec_execute_message                          -      -            
     0.10%  [.] xtc_yield                                     -      -            
     0.10%  [.] PgCurrentSessionReplicationGUCState           -      -            
     0.10%  [.] PgCurrentSessionTablespaceState               -      -            
     0.10%  [.] PopActiveSnapshot                             -      -            
     0.10%  [k] __sys_sendto                                  -      -            
     0.10%  [k] its_return_thunk                              -      -            
     0.10%  [k] read_tsc                                      -      -            
     0.10%  [.] GetCurrentTransactionStateRef                 -      -            
     0.10%  [k] skb_page_frag_refill                          -      -            
     0.10%  [.] ExecReadyInterpretedExpr                      -      -            
     0.10%  [k] __rcu_read_lock                               -      -            
     0.10%  [.] _bt_preprocess_keys                           -      -            
     0.10%  [.] check_log_duration                            -      -            
     0.10%  [.] pg_client_to_server                           -      -            
     0.09%  [k] ip_finish_output2                             -      -            
     0.09%  [k] _raw_spin_lock_bh                             -      -            
     0.09%  [k] task_work_run                                 -      -            
     0.09%  [k] io_submit_sqes                                -      -            
     0.09%  [.] ExecScan                                      -      -            
     0.09%  [k] io_poll_remove_entries.part.0                 -      -            
     0.09%  [.] resetStringInfo                               -      -            
     0.09%  [.] SnapshotRegisteredSnapshots                   -      -            
     0.09%  [.] get_timeout_active                            -      -            
     0.09%  [k] __ip_queue_xmit                               -      -            
     0.09%  [.] AllocSetAllocFromNewBlock                     -      -            
     0.09%  [.] 0x000000000009edc6                            -      -            
     0.09%  [.] MemoryContextReset                            -      -            
     0.09%  [.] fmgr_info_cxt_security                        -      -            
     0.09%  [.] 0x00000000000974ac                            -      -            
     0.08%  [.] AllocSetDelete                                -      -            
     0.08%  [.] ExecInitExprRec                               -      -            
     0.08%  [.] __xtc_loop_enqueue                            -      -            
     0.08%  [.] 0x000000000009eb09                            -      -            
     0.08%  [.] finalize_in_progress_typentries               -      -            
     0.08%  [.] _bt_check_compare                             -      -            
     0.08%  [k] get_signal                                    -      -            
     0.08%  [.] standard_ExecutorRun                          -      -            
     0.08%  [.] AtEOXact_Aio                                  -      -            
     0.08%  [.] 0x0000000000172221                            -      -            
     0.08%  [.] ResourceOwnerEnlarge                          -      -            
     0.08%  [.] SendRowDescriptionMessage                     -      -            
     0.08%  [.] __lll_lock_wake_private                       -      -            
     0.08%  [.] __xtc_timer_heap_push                         -      -            
     0.08%  [k] native_queued_spin_lock_slowpath              -      -            
     0.08%  [.] relation_open                                 -      -            
     0.08%  [k] tcp_update_recv_tstamps                       -      -            
     0.08%  [.] PgCurrentRuntimeServerGUCState                -      -            
     0.08%  [.] SetCurrentStatementStartTimestamp             -      -            
     0.08%  [.] __xtc_unsafe_enter                            -      -            
     0.08%  [.] PgCurrentIcuValidationLevelRef                -      -            
     0.08%  [.] check_stack_depth                             -      -            
     0.08%  [k] tcp_write_xmit                                -      -            
     0.07%  [.] AfterTriggerBeginXact                         -      -            
     0.07%  [.] __xtc_coro_step                               -      -            
     0.07%  [.] AtEOXact_ApplyLauncher                        -      -            
     0.07%  [k] ktime_get                                     -      -            
     0.07%  [k] ep_item_poll.isra.0                           -      -            
     0.07%  [.] printtup                                      -      -            
     0.07%  [k] tcp_tso_segs                                  -      -            
     0.07%  [.] tts_buffer_heap_getsomeattrs                  -      -            
     0.07%  [.] AfterTriggerFireDeferred                      -      -            
     0.07%  [.] GetSnapshotData                               -      -            
     0.07%  [.] pgstat_count_io_op                            -      -            
     0.07%  [.] HistoricSnapshotActive                        -      -            
     0.07%  [.] IndexNext                                     -      -            
     0.07%  [.] PgCurrentAllowSystemTableModsRef              -      -            
     0.07%  [.] PgCurrentBackslashQuoteRef                    -      -            
     0.07%  [k] __rcu_read_unlock                             -      -            
     0.07%  [.] xtc_io_del_fd                                 -      -            
     0.07%  [.] AtCommit_Notify                               -      -            
     0.07%  [.] AtEOXact_RelationCache                        -      -            
     0.07%  [.] ExecBuildProjectionInfo                       -      -            
     0.07%  [.] MemoryContextDelete                           -      -            
     0.07%  [.] __tls_get_addr@plt                            -      -            
     0.07%  [.] AfterTriggerEndXact                           -      -            
     0.07%  [.] ExecInitIndexScan                             -      -            
     0.07%  [.] PgCurrentPgStatSnapshotIfAllocated            -      -            
     0.07%  [.] ResourceOwnerRemember                         -      -            
     0.07%  [.] __xtc_loop_step_once                          -      -            
     0.07%  [k] tcp_check_space                               -      -            
     0.06%  [.] FetchPreparedStatement                        -      -            
     0.06%  [.] GetCurrentTimestamp                           -      -            
     0.06%  [.] PgCurrentConstraintExclusionRef               -      -            
     0.06%  [k] __ep_eventpoll_poll.isra.0                    -      -            
     0.06%  [k] __tcp_select_window                           -      -            
     0.06%  [k] memcpy_orig                                   -      -            
     0.06%  [.] string_hash                                   -      -            
     0.06%  [.] MakeTupleTableSlot                            -      -            
     0.06%  [k] __alloc_skb                                   -      -            
     0.06%  [.] xactGetCommittedInvalidationMessages          -      -            
     0.06%  [.] 0x00000000000a121a                            -      -            
     0.06%  [.] LockRelationOid                               -      -            
     0.06%  [.] ScanQueryForLocks                             -      -            
     0.06%  [.] smgrdestroyall                                -      -            
     0.06%  [.] 0x000000000009eda5                            -      -            
     0.06%  [.] IsAbortedTransactionBlockState                -      -            
     0.06%  [.] UnpinBufferNoOwner                            -      -            
     0.06%  [.] ExecCheckPermissions                          -      -            
     0.06%  [.] PgCurrentCpuIndexTupleCostRef                 -      -            
     0.06%  [.] __send                                        -      -            
     0.06%  [.] _bt_search                                    -      -            
     0.06%  [k] ena_com_prepare_tx                            -      -            
     0.06%  [.] pg_qsort                                      -      -            
     0.06%  [.] PortalRunSelect                               -      -            
     0.06%  [.] RecoveryInProgress                            -      -            
     0.06%  [.] AtEOXact_LargeObject                          -      -            
     0.06%  [.] GetPrivateRefCountEntrySlow                   -      -            
     0.06%  [.] MemoryContextResetOnly                        -      -            
     0.06%  [.] PgSessionServiceProtocolReadWake              -      -            
     0.06%  [.] __xtc_loop_dispatch_event                     -      -            
     0.06%  [.] enlargeStringInfo                             -      -            
     0.06%  [k] futex_q_lock                                  -      -            
     0.06%  [.] pg_strtoint32_safe                            -      -            
     0.06%  [.] GetTransactionSnapshot                        -      -            
     0.06%  [.] ReadBuffer                                    -      -            
     0.06%  [.] tts_buffer_heap_clear                         -      -            
     0.06%  [.] 0x00000000000a01b0                            -      -            
     0.05%  [.] ExecInitNode                                  -      -            
     0.05%  [.] RelationIncrementReferenceCount               -      -            
     0.05%  [.] ExecInitFunc                                  -      -            
     0.05%  [.] ExecPushExprSetupSteps                        -      -            
     0.05%  [.] ExecTypeFromTLInternal                        -      -            
     0.05%  [.] PgCurrentDateStyleStringRef                   -      -            
     0.05%  [.] PgCurrentSessionTextSearchState               -      -            
     0.05%  [k] _copy_from_user                               -      -            
     0.05%  [.] choose_custom_plan                            -      -            
     0.05%  [.] pgstat_report_query_id                        -      -            
     0.05%  [k] syscall_exit_to_user_mode                     -      -            
     0.05%  [.] ExecInitResultTypeTL                          -      -            
     0.05%  [.] ReindexIsProcessingIndex                      -      -            
     0.05%  [.] ResourceOwnerCreate                           -      -            
     0.05%  [k] _copy_to_user                                 -      -            
     0.05%  [k] cubictcp_cwnd_event                           -      -            
     0.05%  [k] syscall_exit_to_user_mode_prepare             -      -            
     0.05%  [.] CreateExprContextInternal.constprop.0         -      -            
     0.05%  [.] PushActiveSnapshotWithLevel                   -      -            
     0.05%  [k] __virt_addr_valid                             -      -            
     0.05%  [k] __x64_sys_rt_sigprocmask                      -      -            
     0.05%  [.] errstart                                      -      -            
     0.05%  [.] pstrdup                                       -      -            
     0.05%  [.] secure_write                                  -      -            
     0.05%  [k] tcp_rcv_space_adjust                          -      -            
     0.05%  [.] 0x000000000008f388                            -      -            
     0.05%  [.] AtEOXact_GUC                                  -      -            
     0.05%  [.] PgBackendClearProtocolReadParkDeferredNotify  -      -            
     0.05%  [.] ResourceOwnerReleaseAll                       -      -            
     0.05%  [.] SnapshotResetXmin.part.0                      -      -            
     0.05%  [k] __get_user_nocheck_4                          -      -            
     0.05%  [k] __io_commit_cqring_flush                      -      -            
     0.05%  [k] sk_forced_mem_schedule                        -      -            
     0.05%  [.] CheckExprStillValid                           -      -            
     0.05%  [.] ProcessClientWriteInterrupt                   -      -            
     0.05%  [.] SIGetDataEntries                              -      -            
     0.05%  [.] __sigsetjmp                                   -      -            
     0.05%  [k] __sys_recvfrom                                -      -            
     0.05%  [.] start_xact_command                            -      -            
     0.05%  [k] try_charge_memcg                              -      -            
     0.05%  [.] ReservePrivateRefCountEntryFor                -      -            
     0.05%  [.] pq_endmessage_reuse                           -      -            
     0.05%  [.] 0x00000000001727c0                            -      -            
     0.05%  [.] ExecReScan                                    -      -            
     0.05%  [.] PgCurrentBacktraceFunctionsRef                -      -            
     0.05%  [.] PgCurrentNamespaceSearchPathRef               -      -            
     0.05%  [.] PreCommit_Notify                              -      -            
     0.05%  [.] forbidden_in_wal_sender                       -      -            
     0.05%  [k] tctx_task_work_run                            -      -            
     0.04%  [.] AtEOXact_RelationMap                          -      -            
     0.04%  [.] CleanupTempFiles                              -      -            
     0.04%  [.] __xtc_proc_kill_check                         -      -            
     0.04%  [.] heapam_index_fetch_tuple                      -      -            
     0.04%  [k] netdev_core_pick_tx                           -      -            
     0.04%  [.] update_ps_display_precheck                    -      -            
     0.04%  [.] __xtc_tail_on                                 -      -            
     0.04%  [.] _bt_metaversion                               -      -            
     0.04%  [k] perf_iterate_ctx                              -      -            
     0.04%  [.] pgstat_report_xact_timestamp                  -      -            
     0.04%  [.] 0x000000000009eb1d                            -      -            
     0.04%  [.] GetCommandTagNameAndLen                       -      -            
     0.04%  [k] __skb_clone                                   -      -            
     0.04%  [.] exprTypmod                                    -      -            
     0.04%  [.] xtc_waker_wake                                -      -            
     0.04%  [.] HeapTupleSatisfiesVacuumHorizon               -      -            
     0.04%  [.] PredicateLockPage                             -      -            
     0.04%  [k] __tcp_cleanup_rbuf                            -      -            
     0.04%  [.] __xtc_exec_worker                             -      -            
     0.04%  [k] arch_do_signal_or_restart                     -      -            
     0.04%  [.] message_level_is_interesting                  -      -            
     0.04%  [k] tomoyo_socket_sendmsg_permission              -      -            
     0.04%  [.] AtEOXact_LogicalRepWorkers                    -      -            
     0.04%  [.] FreeExecutorState                             -      -            
     0.04%  [.] _bt_fix_scankey_strategy                      -      -            
     0.04%  [k] _copy_from_iter                               -      -            
     0.04%  [.] getTypeInputInfo                              -      -            
     0.04%  [.] index_getnext_tid                             -      -            
     0.04%  [k] tcp_schedule_loss_probe.part.0                -      -            
     0.04%  [.] DropRelationBuffers                           -      -            
     0.04%  [.] GetPortalByName                               -      -            
     0.04%  [.] PgCurrentDefaultStatisticsTargetRef           -      -            
     0.04%  [.] ProcArrayEndTransaction                       -      -            
     0.04%  [.] StartTransactionCommand                       -      -            
     0.04%  [k] __do_sys_io_uring_enter                       -      -            
     0.04%  [.] internal_flush_buffer                         -      -            
     0.04%  [k] io_issue_sqe                                  -      -            
     0.04%  [.] pg_server_to_client                           -      -            
     0.04%  [.] xtc_self                                      -      -            
     0.04%  [.] 0x00000000000a16b4                            -      -            
     0.04%  [.] AtEOXact_PgStat_Database                      -      -            
     0.04%  [.] AtEOXact_Snapshot                             -      -            
     0.04%  [.] CallXactCallbacks                             -      -            
     0.04%  [.] ExecInitQual                                  -      -            
     0.04%  [.] RemoveLocalLock                               -      -            
     0.04%  [k] __io_arm_poll_handler                         -      -            
     0.04%  [.] initStringInfo                                -      -            
     0.04%  [k] io_poll_task_func                             -      -            
     0.04%  [.] memcpy@plt                                    -      -            
     0.04%  [.] 0x00000000000a01d0                            -      -            
     0.04%  [.] 0x00000000000a1b54                            -      -            
     0.04%  [.] CatalogCacheComputeHashValue                  -      -            
     0.04%  [.] ExecResetTupleTable                           -      -            
     0.04%  [.] ReleaseCatCache                               -      -            
     0.04%  [.] __xtc_mtx_lock                                -      -            
     0.04%  [.] pg_any_to_server                              -      -            
     0.04%  [.] pg_ulltoa_n                                   -      -            
     0.04%  [.] pg_utf8_verifystr                             -      -            
     0.04%  [.] planstate_tree_walker_impl                    -      -            
     0.04%  [.] AtEOXact_RI                                   -      -            
     0.04%  [.] CreateExecutorState                           -      -            
     0.04%  [.] CreatePortal                                  -      -            
     0.04%  [.] ExecEndNode                                   -      -            
     0.04%  [.] ExecIndexEvalRuntimeKeys                      -      -            
     0.04%  [.] InvalidateCatalogSnapshot                     -      -            
     0.04%  [k] __x64_sys_futex                               -      -            
     0.04%  [.] __xtc_unsafe_leave                            -      -            
     0.03%  [.] ExecConditionalAssignProjectionInfo           -      -            
     0.03%  [.] MemoryContextSetParent                        -      -            
     0.03%  [.] PgCurrentDeadlockTimeoutRef                   -      -            
     0.03%  [k] __list_del_entry_valid_or_report              -      -            
     0.03%  [k] __schedule                                    -      -            
     0.03%  [.] _bt_readfirstpage                             -      -            
     0.03%  [k] io_handle_tw_list                             -      -            
     0.03%  [.] 0x00000000000a1a20                            -      -            
     0.03%  [.] AtEOXact_Inval                                -      -            
     0.03%  [.] EndCommandExtended                            -      -            
     0.03%  [.] ExecInterpExpr                                -      -            
     0.03%  [.] PgCurrentDebugParallelQueryRef                -      -            
     0.03%  [.] PgCurrentSessionUserGUCState                  -      -            
     0.03%  [.] RelationClose                                 -      -            
     0.03%  [.] UnpinBuffer                                   -      -            
     0.03%  [k] __x64_sys_epoll_wait                          -      -            
     0.03%  [.] pq_copymsgbytes                               -      -            
     0.03%  [.] smgrDoPendingSyncs                            -      -            
     0.03%  [k] task_work_add                                 -      -            
     0.03%  [.] ExecReScanIndexScan                           -      -            
     0.03%  [.] PreCommit_Portals                             -      -            
     0.03%  [.] ReleaseBuffer                                 -      -            
     0.03%  [.] ScanRelIsReadOnly                             -      -            
     0.03%  [.] VirtualXactLockTableCleanup                   -      -            
     0.03%  [k] __futex_wait                                  -      -            
     0.03%  [.] __os_clock_mono                               -      -            
     0.03%  [k] __x64_sys_sendto                              -      -            
     0.03%  [.] pgstat_init_relation                          -      -            
     0.03%  [.] recomputeNamespacePath                        -      -            
     0.03%  [.] CommitTransactionCommand                      -      -            
     0.03%  [.] GetCurrentStatementStartTimestamp             -      -            
     0.03%  [.] btgettuple                                    -      -            
     0.03%  [k] futex_wait                                    -      -            
     0.03%  [.] index_beginscan_internal                      -      -            
     0.03%  [k] refill_stock                                  -      -            
     0.03%  [.] socket_flush                                  -      -            
     0.03%  [k] tcp_recvmsg                                   -      -            
     0.03%  [k] tcp_skb_entail                                -      -            
     0.03%  [.] AtEOXact_SPI                                  -      -            
     0.03%  [.] ExecutorEnd                                   -      -            
     0.03%  [.] PgCurrentBackendFlushAfterRef                 -      -            
     0.03%  [.] PgCurrentEnableIncrementalSortRef             -      -            
     0.03%  [.] PgCurrentGeqoGenerationsRef                   -      -            
     0.03%  [.] RelationDecrementReferenceCount               -      -            
     0.03%  [.] RevalidateCachedQuery                         -      -            
     0.03%  [k] __sk_dst_check                                -      -            
     0.03%  [k] bpf_skops_write_hdr_opt.isra.0                -      -            
     0.03%  [.] clock_gettime                                 -      -            
     0.03%  [k] inet_sendmsg                                  -      -            
     0.03%  [k] io_poll_disarm                                -      -            
     0.03%  [k] ip_send_check                                 -      -            
     0.03%  [k] ip_skb_dst_mtu                                -      -            
     0.03%  [.] list_free_private                             -      -            
     0.03%  [k] sch_direct_xmit                               -      -            
     0.03%  [.] xtc_timer_cancel                              -      -            
     0.03%  [.] 0x0000000000172825                            -      -            
     0.03%  [.] AtEOXact_MultiXact                            -      -            
     0.03%  [.] ExecTargetListLength                          -      -            
     0.03%  [.] GetCurrentSubTransactionId                    -      -            
     0.03%  [.] IsInParallelMode                              -      -            
     0.03%  [k] _copy_to_iter                                 -      -            
     0.03%  [k] futex_hash                                    -      -            
     0.03%  [k] import_ubuf                                   -      -            
     0.03%  [k] io_poll_add                                   -      -            
     0.03%  [.] pgstat_clear_backend_activity_snapshot        -      -            
     0.03%  [.] xtc_pg_wait_fd                                -      -            
     0.03%  [.] ExecGetRangeTableRelation                     -      -            
     0.03%  [.] ExecInterpExprStillValid                      -      -            
     0.03%  [.] PgCurrentHashMemMultiplierRef                 -      -            
     0.03%  [.] PgCurrentVacuumBufferUsageLimitRef            -      -            
     0.03%  [.] ResourceOwnerForgetLock                       -      -            
     0.03%  [.] TransactionBlockStatusCode                    -      -            
     0.03%  [.] UnregisterSnapshotFromOwner                   -      -            
     0.03%  [k] __ip_finish_output                            -      -            
     0.03%  [k] __local_bh_enable_ip                          -      -            
     0.03%  [.] __os_calloc                                   -      -            
     0.03%  [k] __put_user_nocheck_4                          -      -            
     0.03%  [.] _bt_checkkeys                                 -      -            
     0.03%  [k] inet_recvmsg                                  -      -            
     0.03%  [k] io_poll_find.isra.0                           -      -            
     0.03%  [k] ipv4_dst_check                                -      -            
     0.03%  [.] 0x00000000001727f5                            -      -            
     0.03%  [.] 0x00000000001727fa                            -      -            
     0.03%  [.] BuildQueryCompletionString                    -      -            
     0.03%  [.] ExecutorStart                                 -      -            
     0.03%  [.] GetUserId                                     -      -            
     0.03%  [.] PgCurrentDebugPrintRawParseRef                -      -            
     0.03%  [.] PgCurrentSessionStorageGUCState               -      -            
     0.03%  [.] PgCurrentTrackCostDelayTimingRef              -      -            
     0.03%  [.] PgCurrentVacuumMultixactFreezeTableAgeRef     -      -            
     0.03%  [.] PgRuntimeSetCurrentWork                       -      -            
     0.03%  [.] SaveTransactionCharacteristics                -      -            
     0.03%  [k] __copy_skb_header                             -      -            
     0.03%  [.] index_beginscan                               -      -            
     0.03%  [.] int4out                                       -      -            
     0.03%  [.] pq_getmsgstring                               -      -            
     0.03%  [.] relation_close                                -      -            
     0.03%  [.] superuser_arg                                 -      -            
     0.02%  [.] CreateQueryDesc                               -      -            
     0.02%  [.] ExecCloseRangeTableRelations                  -      -            
     0.02%  [.] MemoryContextCreate                           -      -            
     0.02%  [.] ParallelContextList                           -      -            
     0.02%  [.] PgCurrentAllowInPlaceTablespacesRef           -      -            
     0.02%  [.] PgCurrentDefaultXactIsoLevelRef               -      -            
     0.02%  [.] PgCurrentDynamicLibraryPathRef                -      -            
     0.02%  [.] PgCurrentEnableDistinctReorderingRef          -      -            
     0.02%  [.] PgCurrentLogStatementStatsRef                 -      -            
     0.02%  [.] PgRuntimeRestoreCurrentWork                   -      -            
     0.02%  [.] ReleasePredicateLocks                         -      -            
     0.02%  [.] TupleDescInitEntry                            -      -            
     0.02%  [.] UnregisterSnapshot                            -      -            
     0.02%  [.] __errno_location                              -      -            
     0.02%  [.] 0x000000000008f38e                            -      -            
     0.02%  [.] 0x00000000001727f2                            -      -            
     0.02%  [.] AtEOXact_Files                                -      -            
     0.02%  [.] EndImplicitTransactionBlock                   -      -            
     0.02%  [.] ExecAssignExprContext                         -      -            
     0.02%  [.] LockErrorCleanup                              -      -            
     0.02%  [.] ModifyWaitEvent                               -      -            
     0.02%  [.] PgCurrentPgStatFetchConsistencyRef            -      -            
     0.02%  [.] PgCurrentPgStatTrackCountsRef                 -      -            
     0.02%  [.] PgCurrentTSCurrentConfigRef                   -      -            
     0.02%  [.] PortalDrop                                    -      -            
     0.02%  [.] ReScanExprContext                             -      -            
     0.02%  [.] afterTriggerMarkEvents.isra.0                 -      -            
     0.02%  [k] do_user_addr_fault                            -      -            
     0.02%  [.] fmgr_info                                     -      -            
     0.02%  [k] get_futex_key                                 -      -            
     0.02%  [.] io_uring_wait_cqes                            -      -            
     0.02%  [k] ip_finish_output                              -      -            
     0.02%  [.] lappend                                       -      -            
     0.02%  [k] nf_hook_slow                                  -      -            
     0.02%  [.] pgstat_report_stat                            -      -            
     0.02%  [k] sched_balance_update_blocked_averages         -      -            
     0.02%  [.] standard_ExecutorEnd                          -      -            
     0.02%  [k] tcp_event_new_data_sent                       -      -            
     0.02%  [.] tts_virtual_clear                             -      -            
     0.02%  [.] AtEOXact_Parallel                             -      -            
     0.02%  [.] EndCommand                                    -      -            
     0.02%  [.] ExecCheckOneRelPerms                          -      -            
     0.02%  [.] ExecShutdownNode                              -      -            
     0.02%  [.] ForgetPrivateRefCountEntryFor                 -      -            
     0.02%  [.] GrantLockLocal                                -      -            
     0.02%  [.] InvalidateCatalogSnapshotConditionally        -      -            
     0.02%  [.] PgCurrentClientEncodingStringRef              -      -            
